Number of CPU used for training = 36
Creating PPO model...
Using cpu device
Total number of parameters: 392975
Logging to runs/0420/PPO_13
---------------------------------
| rollout/           |          |
|    explained_variance   | 0.00756     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00582     |
|    n_updates            | 15          |
|    policy_gradient_loss | -0.00502    |
|    std                  | 1.01        |
|    value_loss           | 35.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.99        |
|    ep_rew_mean          | 1.92        |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 5           |
|    time_elapsed         | 8399        |
|    total_timesteps      | 184320      |
| train/                  |             |
|    approx_kl            | 0.010857548 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.99       |
|    explained_variance   | 2.86e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 101         |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00528    |
|    std                  | 1.01        |
|    value_loss           | 2.04e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.96        |
|    ep_rew_mean          | 1.92        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 6           |
|    time_elapsed         | 10049       |
|    total_timesteps      | 221184      |
| train/                  |             |
|    approx_kl            | 0.010978606 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.97       |
|    explained_variance   | 0.00576     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0066      |
|    n_updates            | 25          |
|    policy_gradient_loss | -0.00612    |
|    std                  | 1           |
|    value_loss           | 54.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.99        |
|    ep_rew_mean          | 1.86        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 7           |
|    time_elapsed         | 11726       |
|    total_timesteps      | 258048      |
| train/                  |             |
|    approx_kl            | 0.011744231 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.95       |
|    explained_variance   | 0.00357     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0151     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0062     |
|    std                  | 1           |
|    value_loss           | 74.6        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.98       |
|    ep_rew_mean          | 1.87       |
| time/                   |            |
|    fps                  | 22         |
|    iterations           | 8          |
|    time_elapsed         | 13345      |
|    total_timesteps      | 294912     |
| train/                  |            |
|    approx_kl            | 0.01144138 |
|    clip_fraction        | 0.141      |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.96      |
|    explained_variance   | -3.81e-06  |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00169    |
|    n_updates            | 35         |
|    policy_gradient_loss | -0.00494   |
|    std                  | 1.01       |
|    value_loss           | 1.27e+06   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.95        |
|    ep_rew_mean          | 1.27        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 9           |
|    time_elapsed         | 15055       |
|    total_timesteps      | 331776      |
| train/                  |             |
|    approx_kl            | 0.011626828 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.96       |
|    explained_variance   | 0.00577     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.665       |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00535    |
|    std                  | 1           |
|    value_loss           | 55.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.96        |
|    ep_rew_mean          | -1.78       |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 10          |
|    time_elapsed         | 16672       |
|    total_timesteps      | 368640      |
| train/                  |             |
|    approx_kl            | 0.011154767 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.97       |
|    explained_variance   | 0.00209     |
|    learning_rate        | 0.0003      |
|    loss                 | 296         |
|    n_updates            | 45          |
|    policy_gradient_loss | -0.00506    |
|    std                  | 1.01        |
|    value_loss           | 134         |
-----------------------------------------
Traceback (most recent call last):
  File "/home/yyan-admin/yl43338/residual_grasping/train_one_step_e2e.py", line 129, in <module>
    sys.exit(main())
  File "/home/yyan-admin/yl43338/residual_grasping/train_one_step_e2e.py", line 116, in main
    model.learn(
  File "/home/yyan-admin/yl43338/env/lib/python3.10/site-packages/stable_baselines3/ppo/ppo.py", line 311, in learn
    return super().learn(
  File "/home/yyan-admin/yl43338/env/lib/python3.10/site-packages/stable_baselines3/common/on_policy_algorithm.py", line 324, in learn
    continue_training = self.collect_rollouts(self.env, callback, self.rollout_buffer, n_rollout_steps=self.n_steps)
  File "/home/yyan-admin/yl43338/env/lib/python3.10/site-packages/stable_baselines3/common/on_policy_algorithm.py", line 218, in collect_rollouts
    new_obs, rewards, dones, infos = env.step(clipped_actions)
  File "/home/yyan-admin/yl43338/env/lib/python3.10/site-packages/stable_baselines3/common/vec_env/base_vec_env.py", line 222, in step
    return self.step_wait()
  File "/home/yyan-admin/yl43338/env/lib/python3.10/site-packages/stable_baselines3/common/vec_env/subproc_vec_env.py", line 137, in step_wait
    results = [remote.recv() for remote in self.remotes]
  File "/home/yyan-admin/yl43338/env/lib/python3.10/site-packages/stable_baselines3/common/vec_env/subproc_vec_env.py", line 137, in <listcomp>
    results = [remote.recv() for remote in self.remotes]
  File "/usr/lib/python3.10/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/usr/lib/python3.10/multiprocessing/connection.py", line 414, in _recv_bytes
    buf = self._recv(4)
  File "/usr/lib/python3.10/multiprocessing/connection.py", line 379, in _recv
    chunk = read(handle, remaining)
KeyboardInterrupt
Traceback (most recent call last):
  File "/home/yyan-admin/yl43338/residual_grasping/train_one_step_e2e.py", line 129, in <module>
    sys.exit(main())
  File "/home/yyan-admin/yl43338/residual_grasping/train_one_step_e2e.py", line 116, in main
    model.learn(
  File "/home/yyan-admin/yl43338/env/lib/python3.10/site-packages/stable_baselines3/ppo/ppo.py", line 311, in learn
    return super().learn(
  File "/home/yyan-admin/yl43338/env/lib/python3.10/site-packages/stable_baselines3/common/on_policy_algorithm.py", line 324, in learn
    continue_training = self.collect_rollouts(self.env, callback, self.rollout_buffer, n_rollout_steps=self.n_steps)
  File "/home/yyan-admin/yl43338/env/lib/python3.10/site-packages/stable_baselines3/common/on_policy_algorithm.py", line 218, in collect_rollouts
    new_obs, rewards, dones, infos = env.step(clipped_actions)
  File "/home/yyan-admin/yl43338/env/lib/python3.10/site-packages/stable_baselines3/common/vec_env/base_vec_env.py", line 222, in step
    return self.step_wait()
  File "/home/yyan-admin/yl43338/env/lib/python3.10/site-packages/stable_baselines3/common/vec_env/subproc_vec_env.py", line 137, in step_wait
    results = [remote.recv() for remote in self.remotes]
  File "/home/yyan-admin/yl43338/env/lib/python3.10/site-packages/stable_baselines3/common/vec_env/subproc_vec_env.py", line 137, in <listcomp>
    results = [remote.recv() for remote in self.remotes]
  File "/usr/lib/python3.10/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/usr/lib/python3.10/multiprocessing/connection.py", line 414, in _recv_bytes
    buf = self._recv(4)
  File "/usr/lib/python3.10/multiprocessing/connection.py", line 379, in _recv
    chunk = read(handle, remaining)
KeyboardInterrupt
